Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2023-06-26 06:06:01.676356,Banská Bystrica Zelená,12,12,*,x,x,4,6,x,x
2023-06-26 05:06:01.866774,Žilina Obežná,9,8,21,x,441,7,10,x,x
2023-06-26 05:06:01.866774,Žiar nad Hronom Jilemnického,15,9,x,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Žarnovica Dolná,14,*,x,x,x,3,5,x,x
2023-06-26 05:06:01.866774,Zvolen J. Alexyho,17,13,x,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Vranov nad Top. M. R. Štefánika,17,11,x,4,x,x,x,x,x
2023-06-26 05:06:01.866774,Veľká Ida Letná,19,13,x,x,306,x,x,x,x
2023-06-26 05:06:01.866774,Trnava Kollárova,9,6,x,x,425,8,12,0.2,x
2023-06-26 05:06:01.866774,Trenčín Hasičská,15,9,x,3,182,10,12,0.2,x
2023-06-26 05:06:01.866774,Trebišov T. G. Masaryka,18,10,56,x,x,2,5,x,x
2023-06-26 05:06:01.866774,Topoľníky Aszód EMEP,13,6,62,4,x,3,4,x,PDL
2023-06-26 05:06:01.866774,Strážske Mierová,19,13,x,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Stará Lesná AÚ SAV EMEP,15,12,*,x,x,2,3,x,x
2023-06-26 05:06:01.866774,Starina Vodná nádrž EMEP,x,x,31,x,x,1,1,x,1
2023-06-26 05:06:01.866774,Sereď Vinárska,14,11,x,x,x,6,8,x,x
2023-06-26 05:06:01.866774,Senica Hviezdoslavova,*,*,x,14,x,x,x,x,x
2023-06-26 05:06:01.866774,Senec Boldocká,11,4,69,x,208,*,*,x,x
2023-06-26 05:06:01.866774,Ružomberok Riadok,11,7,42,4,153,10,11,0.2,x
2023-06-26 05:06:01.866774,Rovinka mobilná AMS,13,x,x,3,137,12,14,0.4,x
2023-06-26 05:06:01.866774,Rohožník Senická,16,4,x,10,*,*,*,0.1,x
2023-06-26 05:06:01.866774,Púchov 1. mája,11,7,x,1,201,1,3,x,x
2023-06-26 05:06:01.866774,Prievidza Malonecpalská,17,9,38,*,x,5,7,x,x
2023-06-26 05:06:01.866774,Prešov Arm. gen. L. Svobodu,13,14,x,x,58,21,35,0.1,x
2023-06-26 05:06:01.866774,Poprad Železničná,18,13,x,x,x,12,14,x,x
2023-06-26 05:06:01.866774,Plášťovce,10,9,21,x,x,5,7,x,x
2023-06-26 05:06:01.866774,Pezinok Obrancov mieru,4,5,54,x,x,PDL,2,x,x
2023-06-26 05:06:01.866774,Oščadnica,12,7,24,PDL,x,2,4,x,x
2023-06-26 05:06:01.866774,Nitra Štúrova,*,11,x,8,141,11,16,*,x
2023-06-26 05:06:01.866774,Nitra Janíkovce,14,10,62,x,x,*,*,x,x
2023-06-26 05:06:01.866774,Martin Jesenského,19,10,x,x,211,5,6,0.2,x
2023-06-26 05:06:01.866774,Lučenec Gemerská cesta,19,5,26,x,165,4,7,PDL,x
2023-06-26 05:06:01.866774,Liptovský Mikuláš Školská,14,12,x,2,x,4,9,x,x
2023-06-26 05:06:01.866774,Krompachy SNP,16,14,x,PDL,463,2,4,0.4,x
2023-06-26 05:06:01.866774,Košice Štefánikova,14,16,x,4,314,5,7,0.1,x
2023-06-26 05:06:01.866774,Košice Ďumbierska,x,x,82,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Košice Amurská,11,13,x,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Komárno Vnútorná okružná,10,7,43,x,x,11,13,x,x
2023-06-26 05:06:01.866774,Kolonické sedlo,18,9,x,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Kojšovská hoľa,x,x,92,x,x,1,2,x,x
2023-06-26 05:06:01.866774,Jelšava Jesenského,28,7,51,x,x,5,5,x,x
2023-06-26 05:06:01.866774,Humenné Nám. slobody,23,13,28,x,x,4,5,x,x
2023-06-26 05:06:01.866774,Hnúšťa Hlavná,23,8,x,x,x,x,x,x,x
2023-06-26 05:06:01.866774,Handlová Morovianska cesta,10,PDL,x,5,x,x,x,x,x
